rep,method,n,s,o,d,type,lower,upper,avg,sd,expected,thetahat
1,SONNETnonpar,500,10,250,2,pct,5.508447582645693,6.450134657306982,5.976905618356982,0.3651915344733334,7.3379502980550635,1.6802805611222444
1,SONNETnonpar,500,10,250,2,sd,5.463133054811863,6.510224067397033,5.986678561104448,0.267119962622908,7.3379502980550635,1.6802805611222444
1,NSBoot,1000,0,0,2,pct,6.783654016061023,7.955298636407374,7.421781890633004,0.3713188757662351,8.064072812200108,1.6731691691691692
1,NSBoot,1000,0,0,2,sd,6.798855065688786,8.010140432576671,7.404497749132728,0.3090070471810581,8.064072812200108,1.6731691691691692
1,ASEpar,1000,0,0,2,pct,7.623978641801177,9.122489469544124,8.270265018381242,0.4810652700697684,8.064072812200108,1.6731691691691692
1,ASEpar,1000,0,0,2,sd,7.5237906552267635,9.09300234650579,8.308396500866277,0.4003164608270275,8.064072812200108,1.6731691691691692
1,ASEnonpar,1000,0,0,2,pct,7.04264107344644,8.262265064989084,7.6094238473873315,0.4062359457733118,8.064072812200108,1.6731691691691692
1,ASEnonpar,1000,0,0,2,sd,7.006810366473909,8.242643311904942,7.624726839189425,0.31526929963487244,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,0,2,pct,7.673509015658046,9.21942579720032,8.350653515887224,0.46481808870968244,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,0,2,sd,7.618034424809347,9.10874209391311,8.363388259361228,0.38028955655876234,8.064072812200108,1.6731691691691692
1,SONNETnonpar,1000,2,0,2,pct,6.555520792227398,7.518791217259044,7.0348841227302925,0.3270078542357755,8.064072812200108,1.6731691691691692
1,SONNETnonpar,1000,2,0,2,sd,6.553431280285175,7.525465379402546,7.039448329843861,0.24797243897965798,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,100,2,pct,7.646632985558251,9.13960006205781,8.329467098154456,0.4428417495556545,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,100,2,sd,7.6148523705105395,9.098609617365875,8.356730993938207,0.37851645707753406,8.064072812200108,1.6731691691691692
1,SONNETnonpar,1000,2,100,2,pct,6.5242911322397825,7.631573422228225,7.110673436443672,0.4089973975520751,8.064072812200108,1.6731691691691692
1,SONNETnonpar,1000,2,100,2,sd,6.541433220294936,7.668201923835731,7.1048175720653335,0.2874462776940299,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,200,2,pct,7.466020413181628,9.07434692896651,8.240131005207559,0.5463502149736215,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,200,2,sd,7.441926668753061,9.011011110376378,8.22646888956472,0.4002839985836613,8.064072812200108,1.6731691691691692
1,SONNETnonpar,1000,2,200,2,pct,6.78706490988464,7.751159964218731,7.1880140280594835,0.35990556492693315,8.064072812200108,1.6731691691691692
1,SONNETnonpar,1000,2,200,2,sd,6.688952642220996,7.754589805304394,7.221771223762695,0.27185121040208104,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,500,2,pct,7.692484144589512,8.994392497171651,8.28031208476958,0.5021533010018739,8.064072812200108,1.6731691691691692
1,SONNETpar,1000,2,500,2,sd,7.637378891457679,8.946746827906285,8.292062859681982,0.3340285706208718,8.064072812200108,1.6731691691691692
1,SONNETnonpar,1000,2,500,2,pct,6.742038921044183,7.9455880307137505,7.392548919529216,0.37091114788205193,8.064072812200108,1.6731691691691692
